category,site_name,flaky,legacy,onion_addr,onion_url,proof_url,comment
web and internet,DuckDuckGo,,TRUE,3g2upl4pq6kufc4m,https://3g2upl4pq6kufc4m.onion/,ssl,
web and internet,Internet Archive (archive.org),,FALSE,archivebyd3rzt3ehjpm4c3bjkyxv3hjleiytnvxcn7x32psn2kxcuid,https://archivebyd3rzt3ehjpm4c3bjkyxv3hjleiytnvxcn7x32psn2kxcuid.onion/,ssl,
web and internet,Archive Today (archive.is),,TRUE,archivecaslytosk,http://archivecaslytosk.onion/,https://archive.is/,
web and internet,Cloudflare Public DNS 1.1.1.1,,FALSE,dns4torpnlfs2ifuz2s2yf3fc7rdmsbhm6rw75euj35pac6ap25zgqad,https://dns4torpnlfs2ifuz2s2yf3fc7rdmsbhm6rw75euj35pac6ap25zgqad.onion/,ssl,
web and internet,Facebook Mobile,,FALSE,facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd,https://m.facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion/,ssl,
web and internet,Facebook,,FALSE,facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd,https://www.facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion/,https://www.facebook.com/notes/protect-the-graph/making-connections-to-facebook-more-secure/1526085754298237/,
web and internet,Mail2Tor,,TRUE,mail2tor2zyjdctd,http://mail2tor2zyjdctd.onion/,http://mail2tor.com,
web and internet,Protonmail,,TRUE,protonirockerxow,https://protonirockerxow.onion/,ssl,
tech and software,Debian Onion Index,,TRUE,5nca3wxl33tzlzj5,http://5nca3wxl33tzlzj5.onion/,https://onion.debian.org/,everything debian
tech and software,Brave (Web Browser),,TRUE,brave5t5rjjg3s6k,https://brave5t5rjjg3s6k.onion/,ssl,
tech and software,Mailpile,,TRUE,clgs64523yi2bkhz,http://clgs64523yi2bkhz.onion/,https://www.mailpile.is,
tech and software,Whonix Home,,FALSE,dds6qkxpwdeubwucdiaord2xgbbeyds25rbsgr73tbfpqpt4a6vjwsyd,http://dds6qkxpwdeubwucdiaord2xgbbeyds25rbsgr73tbfpqpt4a6vjwsyd.onion/,https://www.qubes-os.org/news/2018/01/23/qubes-whonix-next-gen-tor-onion-services/,
tech and software,Whonix Forums,,FALSE,dds6qkxpwdeubwucdiaord2xgbbeyds25rbsgr73tbfpqpt4a6vjwsyd,http://forums.dds6qkxpwdeubwucdiaord2xgbbeyds25rbsgr73tbfpqpt4a6vjwsyd.onion/,https://www.qubes-os.org/news/2018/01/23/qubes-whonix-next-gen-tor-onion-services/,
tech and software,ExpressVPN,,TRUE,expressobutiolem,http://expressobutiolem.onion/,https://www.expressvpn.com/blog/expressvpn-launches-tor-onion/,
tech and software,Tor Project Home,,TRUE,expyuzz4wqqyqhjn,http://expyuzz4wqqyqhjn.onion/,https://onion.torproject.org,
tech and software,DEF CON Home,,FALSE,g7ejphhubv5idbbu3hb3wawrs5adw7tkx7yjabnf65xtzztgg4hcsqqd,http://g7ejphhubv5idbbu3hb3wawrs5adw7tkx7yjabnf65xtzztgg4hcsqqd.onion/,https://www.facebook.com/defcon/posts/i-am-proud-to-announce-the-v3-onion-address-for-def-condefconorg-main-web-siteht/10155438526096656/,
tech and software,Ablative Hosting,,FALSE,hzwjmjimhr7bdmfv2doll4upibt5ojjmpo3pbp5ctwcg37n3hyk7qzid,https://hzwjmjimhr7bdmfv2doll4upibt5ojjmpo3pbp5ctwcg37n3hyk7qzid.onion/,ssl,
tech and software,DEF CON Groups,,FALSE,jrw32khnmfehvdsvwdf34mywoqj5emvxh4mzbkls6jk2cb3thcgz6nid,http://jrw32khnmfehvdsvwdf34mywoqj5emvxh4mzbkls6jk2cb3thcgz6nid.onion/,https://www.facebook.com/defcon/posts/i-am-proud-to-announce-the-v3-onion-address-for-def-condefconorg-main-web-siteht/10155438526096656/,
