legacy,flaky,category,site_name,onion_name,onion_addr,onion_url,proof_url,comment
FALSE,,securedrop,The Globe and Mail,theglobeandmail.securedrop.tor.onion,*TBD*,http://a4zum5ydurvljrohxqp2rjjal5kro4ge2q2qizuonf2jubkhcr627gad.onion,https://sec.theglobeandmail.com/securedrop/,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,2600: The Hacker Quarterly,2600.securedrop.tor.onion,*TBD*,http://cy6wj77vryhcyh6go576hxycjz4wxlo4s5vevdinkw3armwzty5jozyd.onion,https://www.2600.com/securedrop,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,Forbidden Stories,forbiddenstories.securedrop.tor.onion,*TBD*,http://fg25fqpu2dnxp24xs3jlcley4hp2inshpzek44q3czkhq3zffoqk26id.onion,https://forbiddenstories.org/protect-your-stories/,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,ABC,abc.au.securedrop.tor.onion,*TBD*,http://dqa4zahticcobfq5rmmmbewbdtyiznbl75hu23k4i37y7yfoosrh7mqd.onion,https://www.abc.net.au/news/securedrop/,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,TV2 Denmark,,*TBD*,http://srumyob2jq5nvppzt66aaab333n2wmq6xgkg4khfe24ixdb7umf7mtyd.onion,https://tv2.dk/secure,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,Aftenposten AS,aftenposten.securedrop.tor.onion,*TBD*,http://tiykfvhb562gheutfnedysnhrxpxoztyszkqyroloyepwzxmxien77id.onion,https://www.aftenposten.no/securedrop,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,Whistleblower Aid,whistlebloweraid.securedrop.tor.onion,*TBD*,http://kogbxf4ysay2qzozmg7ar45ijqmj2vxrwqa4upzqq2i7sqj7wv7wcdqd.onion,https://whistlebloweraid.org/contact/instructions/securedrop/,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,Bloomberg News,bloomberg.securedrop.tor.onion,*TBD*,http://ogdwaroarq4p6rnfn2hl4crvldyruyc2g24435qtxmd3twhevg7dsqid.onion,https://www.bloomberg.com/tips/,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,Institute for Quantitative Social Science at Harvard University,iqss.harvard.securedrop.tor.onion,*TBD*,http://5kcyaqagvnrvyan7y5ntzreqsn2msowqlmtoo46qju2pctlbkzzztxqd.onion,https://www.hmdc.harvard.edu/securedrop.html,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,Toronto Star,torontostar.securedrop.tor.onion,*TBD*,http://yj3b7rgmglcocbbvzrwfbo4d6j2aa7thwupra4yqutbd27v3vxcpvgid.onion,https://www.thestar.com/securedrop.html,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,iROZHLAS,irozhlas.securedrop.tor.onion,*TBD*,http://3gtoclri7h6xrtjjapfezcerj4dqf3fwfk3jmhrhz25i5pyprmz47gad.onion,https://www.irozhlas.cz/securedrop,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,Public Intelligence,,*TBD*,http://z4gd5t2g6u6kqeqjeddvmvlhhjtjgslg4elh4ztnct7snskcd7phbiyd.onion,https://publicintelligence.net/contribute/,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,New York Times,nytimes.securedrop.tor.onion,*TBD*,http://ej3kv4ebuugcmuwxctx5ic7zxh73rnxt42soi3tdneu2c2em55thufqd.onion,https://www.nytimes.com/tips,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,The Guardian,theguardian.securedrop.tor.onion,*TBD*,http://xp44cagis447k3lpb4wwhcqukix6cgqokbuys24vmxmbzmaq2gjvc2yd.onion,https://www.theguardian.com/securedrop,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,Apache,apache.securedrop.tor.onion,*TBD*,http://okd7utbak43lm7qaixr6yv7s62e32mhngjsfpjn26eklokqofg6776yd.onion,https://www.apache.be/securedrop,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,Aftonbladet,aftonbladet.securedrop.tor.onion,*TBD*,http://xm33ge4kupk5o66eqxcd2r4fqcplpqb2sbdduf5z2nw4g2jrxe57luid.onion,https://www.aftonbladet.se/securedrop/,via: https://securedrop.org/api/v1/directory/
FALSE,,securedrop,VICE Media,,*TBD*,http://a2c6mmacrmxtaspbolytfxm6q2zq7svtkuaog5xetbcxr3mpy4pmomid.onion,https://news.vice.com/securedrop/,via: https://securedrop.org/api/v1/directory/
